Id,weekday,TotalTimeInBed,TotalMinutesAsleep,TotalMinutesAwake,TotalSleepRecords
4445114986,Tuesday,457,429,28,2
4445114986,Wednesday,406,370,36,2
4445114986,Friday,379,337,42,2
4445114986,Tuesday,424,388,36,2
4445114986,Tuesday,391,353,38,2
4445114986,Sunday,459,439,20,2
4445114986,Tuesday,450,417,33,2
4445114986,Wednesday,363,337,26,2
4445114986,Thursday,513,462,51,2
4445114986,Friday,402,374,28,2
4445114986,Saturday,436,401,35,2
4702921684,Wednesday,430,400,30,2
4702921684,Saturday,406,382,24,2
5553957443,Wednesday,488,455,33,2
5553957443,Saturday,686,651,35,2
5553957443,Monday,541,520,21,2
5553957443,Saturday,725,631,94,2
5553957443,Sunday,640,553,87,2
5553957443,Saturday,843,775,68,2
5553957443,Sunday,686,622,64,2
5577150313,Monday,553,525,28,2
6117666160,Sunday,350,336,14,2
6117666160,Monday,510,493,17,2
6117666160,Friday,698,658,40,2
6117666160,Saturday,507,498,9,2
6962181067,Thursday,535,508,27,2
8378563200,Wednesday,487,447,40,2
8378563200,Saturday,689,611,78,2
8378563200,Sunday,591,525,66,2
8378563200,Saturday,513,459,54,2
1927972279,Tuesday,775,750,25,3
4388161847,Sunday,595,552,43,3
6962181067,Wednesday,679,630,49,3
